Scrub_dc_no,Year,Week,Inbound Truckloads
92,2019,1,115
76,2019,1,165
78,2019,1,161
98,2019,1,189
3,2019,1,113
65,2019,1,122
41,2019,1,165
64,2019,1,100
92,2019,2,178
76,2019,2,280
78,2019,2,286
98,2019,2,270
3,2019,2,163
65,2019,2,290
41,2019,2,211
92,2019,3,252
76,2019,3,347
78,2019,3,374
98,2019,3,346
3,2019,3,288
65,2019,3,458
41,2019,3,342
92,2019,4,247
76,2019,4,315
78,2019,4,355
98,2019,4,350
3,2019,4,278
65,2019,4,401
41,2019,4,315
92,2019,5,249
76,2019,5,339
78,2019,5,362
98,2019,5,346
3,2019,5,300
65,2019,5,362
41,2019,5,329
64,2019,5,123
92,2019,6,309
76,2019,6,393
78,2019,6,456
98,2019,6,446
3,2019,6,302
65,2019,6,465
41,2019,6,371
64,2019,6,144
92,2019,7,321
76,2019,7,472
78,2019,7,426
98,2019,7,360
3,2019,7,295
65,2019,7,461
41,2019,7,401
64,2019,7,137
92,2019,8,239
76,2019,8,430
78,2019,8,437
98,2019,8,360
3,2019,8,312
65,2019,8,539
41,2019,8,348
64,2019,8,133
92,2019,9,291
76,2019,9,425
78,2019,9,402
98,2019,9,453
3,2019,9,253
65,2019,9,455
41,2019,9,337
64,2019,9,129
92,2019,10,285
76,2019,10,396
78,2019,10,404
98,2019,10,435
3,2019,10,268
65,2019,10,511
41,2019,10,318
64,2019,10,133
92,2019,11,263
76,2019,11,340
78,2019,11,406
98,2019,11,461
3,2019,11,276
65,2019,11,426
41,2019,11,344
64,2019,11,184
92,2019,12,279
76,2019,12,338
78,2019,12,408
98,2019,12,338
3,2019,12,251
65,2019,12,403
41,2019,12,398
64,2019,12,186
92,2019,13,287
76,2019,13,370
78,2019,13,430
98,2019,13,370
3,2019,13,265
65,2019,13,397
41,2019,13,358
64,2019,13,226
92,2019,14,299
76,2019,14,422
78,2019,14,444
98,2019,14,503
3,2019,14,261
65,2019,14,489
41,2019,14,410
64,2019,14,223
92,2019,15,311
76,2019,15,427
78,2019,15,393
98,2019,15,454
3,2019,15,286
65,2019,15,530
41,2019,15,427
64,2019,15,216
92,2019,16,320
76,2019,16,443
78,2019,16,417
98,2019,16,401
3,2019,16,327
65,2019,16,481
41,2019,16,337
64,2019,16,255
92,2019,17,248
76,2019,17,384
78,2019,17,406
98,2019,17,424
3,2019,17,262
65,2019,17,385
41,2019,17,315
64,2019,17,136
92,2019,19,249
76,2019,19,409
78,2019,19,374
98,2019,19,373
3,2019,19,285
65,2019,19,480
41,2019,19,308
64,2019,19,232
92,2019,20,261
76,2019,20,415
78,2019,20,382
